,start,user,duration,totalDistancekM,L_total,R_total,drive_night,jrny,average_duration,average_distance,LR_Ratio,nightDrive_percentage,start_m,start_y,start,user,Overall_Total_Celeration,Overall_Total_Acc,Overall_Hard_Acc,Overall_Total_Ret,Overall_Hard_Ret,JA_Total_Celeration,JA_Total_Acc,JA_Hard_Acc,JA_Total_Ret,JA_Hard_Ret,RA_Total_Celeration,RA_Total_Acc,RA_Hard_Acc,RA_Total_Ret,RA_Hard_Ret,RE_Total_Celeration,RE_Total_Acc,RE_Hard_Acc,RE_Total_Ret,RE_Hard_Ret,start,user,motorway_link,motorway,trunk,tertiary,primary,service,trunk_link,residential,unclassified,secondary,secondary_link,primary_link,tertiary_link,construction,living_street,pedestrian,road,footway,track
20,2022-03-31,2,78268,1577.300183617335,320.0,295.0,0,30,2608.9333333333334,52.576672787244505,1.0847457627118644,0.0,3,2022,2022-03-31 00:00:00+00:00,2,1564,778,9,786,32,271,89,2,182,9,158,68,3,90,10,80,60,0,20,0,2022-03-31 00:00:00+00:00,2,11.029236524889999,631.8742578275001,647.51314562211,71.370139139635,105.43937658504,3.2040969543799998,11.14222255361,13.033402218840001,7.718332865835,71.76430661924,0.09652777010000001,0.23118054619,0.052430548759999994,0,0,0,0,0,0
21,2022-03-31,3,45475,429.00896069695,560.0,433.0,9,64,710.546875,6.703265010889844,1.2933025404157044,0.140625,3,2022,2022-03-31 00:00:00+00:00,3,2154,1051,6,1103,50,461,209,3,252,13,268,119,1,149,9,127,81,1,46,1,2022-03-31 00:00:00+00:00,3,0.0,0.0,161.97715707228,81.939374809815,47.382222665855004,17.13742973906,0.8180555602,17.70617872196,37.034861270525,62.708194701690005,0.0,0.07374999865,0.044097220275,0,0,0,0,0,0
22,2022-03-31,4,49214,320.776175424195,1087.0,985.0,12,99,497.1111111111111,3.240163388123182,1.1035532994923858,0.12121212121212122,3,2022,2022-03-31 00:00:00+00:00,4,3303,1804,12,1499,37,1012,457,2,555,18,33,14,0,19,1,17,11,0,6,0,2022-03-31 00:00:00+00:00,4,0.0,0.0,23.30381933021,78.27111072178,135.227777320215,2.86986085869,0.03055555475,45.625691262805,16.03958273906,16.50451383615,0.0,0.18361108474499999,0.76777771535,0,0,0,0,0,0
23,2022-03-31,5,62588,714.47118944384,562.0,578.0,2,75,834.5066666666667,9.526282525917866,0.972318339100346,0.02666666666666667,3,2022,2022-03-31 00:00:00+00:00,5,2644,1416,15,1228,22,446,195,4,251,6,100,44,1,56,0,61,45,0,16,0,2022-03-31 00:00:00+00:00,5,6.40513907376,188.8552855045,113.42708582770001,48.2709720195,214.69534854164502,3.26284671257,0.7843750009,67.90034514717,23.656180557355,43.973124943775,0.01958332059,0.07784721157499999,0.0,0,0,0,0,0,0
24,2022-04-30,1,38441,203.461659057915,533.0,499.0,2,84,457.6309523809524,2.4221626078323215,1.0681362725450902,0.023809523809523808,4,2022,2022-04-30 00:00:00+00:00,1,1721,955,3,766,5,390,139,0,251,2,175,78,0,97,1,78,58,0,20,0,2022-04-30 00:00:00+00:00,1,0.0,0.0,22.863264168,75.578123146485,2.5872916672499997,6.70097085331,0.169930541375,40.94909342768,4.72784685054,49.688124520525,0.011736110400000001,0.0,0.13916666055,0,0,0,0,0,0
25,2022-04-30,2,35042,357.858683912505,368.0,371.0,0,29,1208.344827586207,12.339954617672586,0.9919137466307277,0.0,4,2022,2022-04-30 00:00:00+00:00,2,1407,680,7,727,26,251,81,0,170,6,149,63,1,86,10,63,44,0,19,0,2022-04-30 00:00:00+00:00,2,0.0,0.0,101.266877082415,68.12847223664,60.835139870999996,1.93902751468,1.993749972025,18.995832362415,5.251944303845001,97.20923778298,0.0872916618,0.040069438715,0.04020833185,0,0,0,0,0,0
26,2022-04-30,3,77653,741.014378830585,934.0,720.0,5,98,792.3775510204082,7.561371212556989,1.2972222222222223,0.05102040816326531,4,2022,2022-04-30 00:00:00+00:00,3,3588,1775,7,1813,69,630,288,1,342,21,508,235,0,273,8,275,174,0,101,5,2022-04-30 00:00:00+00:00,3,0.0,0.0,259.867436745725,127.72069444255,91.38632011432,21.68999797397,2.08284724451,27.04194150129,37.960555613465,171.12451578269,0.07541666186,0.064722222,0.14604165147,0,0,0,0,0,0
27,2022-04-30,4,50289,332.35568866558,1176.0,1030.0,4,115,437.295652173913,2.890049466657217,1.141747572815534,0.034782608695652174,4,2022,2022-04-30 00:00:00+00:00,4,3453,1886,20,1567,45,1188,525,2,663,11,24,12,0,12,0,22,8,0,14,0,2022-04-30 00:00:00+00:00,4,0.0,0.0,0.1269444426,89.50590169925,163.17729149392,3.03624973574,0.0,52.44270479507,18.24979102704,1.7005555761,0.0,0.79374994716,0.76062494615,0,0,0,0,0,0
28,2022-04-30,5,45832,427.30284802887,407.0,424.0,0,78,587.5897435897435,5.478241641395769,0.9599056603773585,0.0,4,2022,2022-04-30 00:00:00+00:00,5,2224,1129,14,1095,38,406,165,2,241,10,125,54,4,71,5,62,44,0,18,0,2022-04-30 00:00:00+00:00,5,0.0,0.0,65.71298831864,39.518680365775,198.068751204105,3.89743005406,0.4977777804,78.430623326635,1.776458152635,35.78993043392,0.06277777495,0.032986108,0.0,0,0,0,0,0,0
29,2022-05-31,1,20867,182.732638497165,211.0,184.0,0,29,719.551724137931,6.301125465419482,1.1467391304347827,0.0,5,2022,2022-05-31 00:00:00+00:00,1,987,545,6,442,5,186,69,0,117,0,96,48,2,48,1,55,40,0,15,0,2022-05-31 00:00:00+00:00,1,0.0,0.0,74.49041811668,47.525694085965,7.407708336380001,0.904583252675,0.39472222266,14.9920820635,1.4704859367,34.438819495325,0.00416666665,0.0,0.0,0,0,0,0,0,0
30,2022-05-31,2,20948,375.32007967336,61.0,64.0,0,9,2327.5555555555557,41.702231074817774,0.953125,0.0,5,2022,2022-05-31 00:00:00+00:00,2,410,189,0,221,9,50,13,0,37,1,28,10,0,18,3,11,10,0,1,0,2022-05-31 00:00:00+00:00,2,4.15819457898,176.49688149759,40.521876091159996,23.31666666532,93.36687698514,1.263263746,0.05263888198,1.67361107446,2.91402780163,31.468750695289998,0.0615972245,0.0,0.02569443131,0,0,0,0,0,0
31,2022-05-31,3,16783,161.09979266239,206.0,165.0,1,25,671.32,6.4439917064956,1.2484848484848485,0.04,5,2022,2022-05-31 00:00:00+00:00,3,755,379,1,376,26,149,63,0,86,4,122,53,0,69,9,67,48,0,19,3,2022-05-31 00:00:00+00:00,3,0.0,0.0,74.14389102229,22.589999921495,11.007986162635,9.109096537905,0.69145833311,4.951943776875,11.764861236025,26.324930671835,0.0,0.0454166649,0.0,0,0,0,0,0,0
32,2022-05-31,4,8759,46.024304081165,203.0,196.0,2,20,437.95,2.30121520405825,1.0357142857142858,0.1,5,2022,2022-05-31 00:00:00+00:00,4,605,329,3,276,9,211,96,0,115,5,0,0,0,0,0,0,0,0,0,0,2022-05-31 00:00:00+00:00,4,0.0,0.0,0.26645832667,15.32090244601,15.818263548549998,0.359583286375,0.0,9.00729109825,3.4360415728400002,1.2263193857,0.0,0.12215275955,0.22298609672000003,0,0,0,0,0,0
33,2022-05-31,5,9881,89.609097268285,78.0,87.0,0,18,548.9444444444445,4.978283181571388,0.896551724137931,0.0,5,2022,2022-05-31 00:00:00+00:00,5,470,242,1,228,4,68,30,0,38,0,15,6,0,9,0,10,7,0,3,0,2022-05-31 00:00:00+00:00,5,0.0,0.0,0.86430555329,6.69548602289,59.18118106907,0.27618052092,0.0,19.152916320605,0.0304166647,2.38687499291,0.0102777769,0.0,0.0,0,0,0,0,0,0
